,Habitantes,Máximo de publicadores en 2018,"Proporción, un publicador por cada:",% de aumento sobre 2017,Número de bautizados en 2018,Promedio de precursores,Número de congregaciones,Asistencia a la Conmemoración
Albania,2870324.0,5647.0,508.0,0.0,143.0,1332.0,93.0,11866.0
Alemania,82792351.0,165870.0,499.0,0.0,2791.0,13998.0,2105.0,262628.0
Andorra,76953.0,178.0,432.0,-4.0,3.0,16.0,3.0,354.0
Angola,27794030.0,155991.0,178.0,9.0,12215.0,22994.0,2111.0,635980.0
Anguila,17087.0,67.0,255.0,0.0,0.0,11.0,2.0,225.0
Antigua,91889.0,479.0,192.0,-1.0,9.0,48.0,7.0,1337.0
Argentina,44494502.0,153342.0,290.0,1.0,4229.0,24075.0,1980.0,312994.0
Armenia,2986500.0,10977.0,272.0,0.0,262.0,2213.0,134.0,21843.0
Aruba,106000.0,1080.0,98.0,0.0,31.0,96.0,14.0,2898.0
Australia,24772247.0,68247.0,363.0,1.0,1250.0,6578.0,786.0,116581.0
Austria,8823054.0,21563.0,409.0,0.0,332.0,1690.0,299.0,34118.0
Azerbaiyán,9898085.0,1430.0,6922.0,2.0,77.0,335.0,14.0,2874.0
Azores,243862.0,767.0,318.0,0.0,11.0,102.0,15.0,1528.0
Bahamas,399000.0,1762.0,226.0,3.0,46.0,244.0,27.0,4237.0
Bangladesh,166368149.0,303.0,549070.0,1.0,15.0,137.0,6.0,839.0
Barbados,292336.0,2496.0,117.0,-2.0,55.0,190.0,30.0,5573.0
Bélgica,11514752.0,25429.0,453.0,0.0,425.0,1939.0,339.0,43326.0
Belice,383040.0,2673.0,143.0,1.0,125.0,534.0,63.0,7987.0
Benín,11486000.0,13644.0,842.0,4.0,587.0,1725.0,209.0,44661.0
Bermudas,61000.0,521.0,117.0,-2.0,8.0,88.0,5.0,927.0
Bielorrusia,9491823.0,6146.0,1544.0,2.0,224.0,1255.0,80.0,10046.0
Bolivia,11240000.0,27776.0,405.0,3.0,1414.0,6684.0,404.0,86800.0
Bonaire,26000.0,160.0,163.0,2.0,0.0,20.0,2.0,351.0
Bosnia-Herzegovina,3507000.0,1108.0,3165.0,-4.0,10.0,179.0,16.0,1690.0
Botsuana,2341861.0,2316.0,1011.0,2.0,118.0,306.0,45.0,6225.0
Brasil,208888781.0,869537.0,240.0,3.0,32457.0,113750.0,12270.0,1827079.0
Bulgaria,7037000.0,2530.0,2781.0,3.0,52.0,702.0,55.0,5424.0
Burkina Faso,19752000.0,1958.0,10088.0,3.0,74.0,277.0,48.0,4309.0
Burundi,9732000.0,14508.0,671.0,5.0,921.0,2211.0,266.0,50681.0
Cabo Verde,560899.0,2317.0,242.0,3.0,119.0,417.0,34.0,7874.0
Caimán (islas),62000.0,265.0,234.0,0.0,3.0,34.0,3.0,620.0
Camboya,16245729.0,1156.0,14053.0,5.0,27.0,648.0,16.0,3023.0
Camerún,25293116.0,43965.0,575.0,4.0,1764.0,5198.0,486.0,98947.0
Canadá,36953765.0,115959.0,319.0,0.0,1703.0,13125.0,1402.0,183048.0
Centroafricana. Rep,5000000.0,2889.0,1731.0,3.0,138.0,306.0,56.0,17622.0
Chad,15000000.0,847.0,17710.0,3.0,69.0,76.0,19.0,4558.0
Checa. Rep,10625449.0,15442.0,688.0,0.0,228.0,1274.0,216.0,26370.0
Chile,18552218.0,80451.0,231.0,2.0,2140.0,13280.0,1012.0,177431.0
Chipre,885600.0,2659.0,333.0,2.0,45.0,454.0,43.0,4674.0
Chuuk,48651.0,47.0,1035.0,10.0,2.0,17.0,2.0,181.0
Colombia,49850000.0,181691.0,274.0,3.0,6482.0,27657.0,2243.0,512386.0
