,Habitantes,Máximo de publicadores en 2019,Un publicador por cada,Promedio de publicadores en 2019,% de aumento sobre 2018,Número de bautizados en 2019,Promedio de precursores,Número de congregaciones,Asistencia a la Conmemoración
Albania,2881000.0,5642.0,514.0,5605.0,0.0,175.0,1333.0,87.0,12135.0
Alemania,83517000.0,165393.0,508.0,164363.0,0.0,2869.0,14571.0,2091.0,267562.0
Andorra,77000.0,179.0,445.0,173.0,1.0,3.0,11.0,3.0,332.0
Angola,31825000.0,165631.0,199.0,159758.0,7.0,13490.0,24685.0,2269.0,696384.0
Anguila,15000.0,67.0,234.0,64.0,2.0,0.0,11.0,1.0,288.0
Antigua,97000.0,475.0,214.0,454.0,-2.0,12.0,42.0,7.0,1392.0
Argentina,44781000.0,154673.0,292.0,153203.0,2.0,4917.0,24422.0,1976.0,330166.0
Armenia,2958000.0,10924.0,276.0,10702.0,-2.0,294.0,2102.0,129.0,20968.0
Aruba,106000.0,1097.0,98.0,1078.0,3.0,28.0,110.0,14.0,3084.0
Australia,25203000.0,68646.0,372.0,67816.0,0.0,1367.0,6935.0,762.0,118279.0
Austria,8955000.0,21614.0,417.0,21483.0,0.0,308.0,1759.0,298.0,34213.0
Azerbaiyán,9982000.0,1490.0,6937.0,1439.0,2.0,77.0,346.0,14.0,3053.0
Azores,243000.0,795.0,320.0,759.0,3.0,26.0,118.0,15.0,1622.0
Bahamas,389000.0,1776.0,229.0,1695.0,1.0,61.0,251.0,28.0,4977.0
Bangladesh,163046000.0,324.0,517606.0,315.0,5.0,14.0,151.0,6.0,980.0
Barbados,287000.0,2439.0,119.0,2414.0,-1.0,26.0,181.0,30.0,6190.0
Bélgica,11431000.0,25173.0,459.0,24923.0,0.0,513.0,2028.0,336.0,42925.0
Belice,390000.0,2702.0,148.0,2642.0,1.0,133.0,541.0,61.0,8306.0
Benín,11801000.0,14203.0,884.0,13346.0,4.0,805.0,1804.0,225.0,45475.0
Bermudas,63000.0,483.0,146.0,432.0,3.0,4.0,83.0,5.0,851.0
Bielorrusia,9452000.0,6211.0,1541.0,6132.0,3.0,208.0,1312.0,81.0,10140.0
Bolivia,11513000.0,28732.0,407.0,28255.0,3.0,1129.0,7288.0,427.0,94104.0
